species,name,class,current,RCP2.6,RCP2.6_CSH,Type_1,RCP4.5,RCP4.5_CSH,Type_2,RCP8.5,RCP8.5_CSH,Type_3
sp142,Acer pseudosieboldianum,wide-ranged,398,385,-0.03,NT,403,0.01,LC,372,-0.07,NT
sp143,Acer pubinerve,wide-ranged,1874,1181,-0.37,VU,814,-0.57,EN,367,-0.8,CR
sp144,Acer pubipetiolatum,wide-ranged,622,776,0.25,LC,744,0.2,LC,400,-0.36,VU
sp145,Acer pubipetiolatum var. pingpienense,wide-ranged,323,186,-0.42,VU,86,-0.73,EN,129,-0.6,EN
sp146,Acer shenkanense,wide-ranged,1964,1358,-0.31,VU,1209,-0.38,VU,798,-0.59,EN
sp147,Acer sikkimense,wide-ranged,1249,1488,0.19,LC,1407,0.13,LC,1008,-0.19,NT
sp148,Acer sinense,wide-ranged,3897,3619,-0.07,NT,3374,-0.13,NT,2930,-0.25,NT
sp149,Acer sino-oblongum,wide-ranged,452,46,-0.9,CR,36,-0.92,CR,103,-0.77,EN
sp150,Acer sinopurpurascens,wide-ranged,270,9,-0.97,CR,6,-0.98,CR,0,-1,EX
sp151,Acer stachyophyllum,wide-ranged,1152,1208,0.05,LC,1155,0,LC,795,-0.31,VU
sp152,Acer stachyophyllum ssp. betulifolium,wide-ranged,1909,1685,-0.12,NT,1532,-0.2,NT,1201,-0.37,VU
sp153,Acer sterculiaceum,wide-ranged,427,528,0.24,LC,546,0.28,LC,373,-0.13,NT
sp154,Acer sterculiaceum ssp. franchetii,wide-ranged,1708,1692,-0.01,NT,1661,-0.03,NT,1454,-0.15,NT
sp155,Acer sutchuenense,wide-ranged,268,279,0.04,LC,240,-0.1,NT,187,-0.3,VU
sp156,Acer sycopseoides,wide-ranged,154,19,-0.88,CR,13,-0.92,CR,13,-0.92,CR
sp157,Acer tataricum ssp. ginnala,wide-ranged,4427,3744,-0.15,NT,3586,-0.19,NT,3252,-0.27,NT
sp158,Acer tataricum ssp. semenovii,wide-ranged,138,89,-0.36,VU,87,-0.37,VU,71,-0.49,VU
sp159,Acer tataricum ssp. theiferum,wide-ranged,2268,1215,-0.46,VU,976,-0.57,EN,692,-0.69,EN
sp160,Acer tegmentosum,wide-ranged,1035,1661,0.6,LC,1744,0.69,LC,1266,0.22,LC
sp161,Acer tenellum,narrow-ranged,549,912,0.66,LC,870,0.58,LC,1008,0.84,LC
sp162,Acer tenellum var. septemlobum,narrow-ranged,227,4805,20.17,LC,4725,19.81,LC,5501,23.23,LC
sp163,Acer thomsonii,wide-ranged,141,304,1.16,LC,296,1.1,LC,137,-0.03,NT
sp164,Acer tibetense,wide-ranged,72,0,-1,EX,0,-1,EX,0,-1,EX
sp165,Acer tonkinense,wide-ranged,877,1292,0.47,LC,1219,0.39,LC,843,-0.04,NT
sp166,Acer triflorum,wide-ranged,568,538,-0.05,NT,530,-0.07,NT,437,-0.23,NT
sp167,Acer truncatum,wide-ranged,2636,2198,-0.17,NT,2138,-0.19,NT,1185,-0.55,EN
sp168,Acer tsinglingense,wide-ranged,744,517,-0.31,VU,455,-0.39,VU,261,-0.65,EN
sp169,Acer tutcheri,wide-ranged,1856,2215,0.19,LC,2045,0.1,LC,1936,0.04,LC
sp170,Acer ukurunduense,wide-ranged,662,683,0.03,LC,706,0.07,LC,427,-0.35,VU
sp171,Acer wangchii,wide-ranged,526,559,0.06,LC,513,-0.02,NT,517,-0.02,NT
sp172,Acer wardii,wide-ranged,279,233,-0.16,NT,217,-0.22,NT,187,-0.33,VU
sp173,Acer wilsonii,wide-ranged,2593,1219,-0.53,EN,754,-0.71,EN,602,-0.77,EN
sp174,Acer yui,narrow-ranged,56,1,-0.98,CR,0,-1,EX,9,-0.84,CR
sp175,Acidosasa chienouensis,wide-ranged,86,55,-0.36,VU,55,-0.36,VU,49,-0.43,VU
sp176,Acidosasa lingchuanensis,narrow-ranged,300,2284,6.61,LC,2275,6.58,LC,2017,5.72,LC
sp177,Acidosasa nanunica,wide-ranged,404,615,0.52,LC,575,0.42,LC,595,0.47,LC
sp178,Acidosasa notata,wide-ranged,183,164,-0.1,NT,133,-0.27,NT,98,-0.46,VU
sp179,Acidosasa purpurea,wide-ranged,64,8,-0.88,CR,7,-0.89,CR,110,0.72,LC
sp180,Acrocarpus fraxinifolius,wide-ranged,501,512,0.02,LC,466,-0.07,NT,424,-0.15,NT
sp181,Acronychia pedunculata,wide-ranged,1218,1329,0.09,LC,1291,0.06,LC,1340,0.1,LC
sp182,Actephila excelsa,wide-ranged,282,564,1,LC,651,1.31,LC,807,1.86,LC
sp183,Actephila merrilliana,wide-ranged,99,135,0.36,LC,161,0.63,LC,342,2.45,LC
sp184,Actinidia arguta,wide-ranged,4122,4036,-0.02,NT,3826,-0.07,NT,2251,-0.45,VU
sp185,Actinidia callosa var. acuminata,narrow-ranged,1073,3544,2.3,LC,3350,2.12,LC,2368,1.21,LC
sp186,Actinidia chengkouensis,wide-ranged,142,78,-0.45,VU,71,-0.5,EN,42,-0.7,EN
sp187,Actinidia chinensis,wide-ranged,3689,3329,-0.1,NT,3125,-0.15,NT,2736,-0.26,NT
sp188,Actinidia chrysantha,wide-ranged,700,312,-0.55,EN,182,-0.74,EN,79,-0.89,CR
sp189,Actinidia eriantha,wide-ranged,2191,2551,0.16,LC,2391,0.09,LC,2177,-0.01,NT
sp190,Actinidia farinosa,narrow-ranged,81,28,-0.65,EN,42,-0.48,VU,175,1.16,LC
