code,Species,Type,Qin,full_rcp26,full_rcp60,full_rcp85,buffer_rcp26,buffer_rcp60,buffer_rcp85,stable_rcp26,stable_rcp60,stable_rcp85,Category
sp5228,Lonicera tubuliflora,narrow-ranged,LC,LC,LC,LC,NT,LC,LC,NT,NT,VU,Gap
sp5229,Lonicera virgultorum,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5230,Lonicera webbiana,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp5231,Lonicera webbiana var. mupinensis,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5232,Lonicera yunnanensis,wide-ranged,LC,LC,LC,LC,VU,NT,VU,EN,EN,EN,Gap
sp5233,Loranthus delavayi,wide-ranged,LC,NT,LC,LC,LC,NT,LC,NT,NT,VU,Covered
sp5234,Loranthus guizhouensis,wide-ranged,LC,LC,NT,NT,NT,LC,NT,VU,VU,NT,Gap
sp5235,Loranthus kaoi,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,No protected
sp5236,Loranthus lambertianus,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5237,Loranthus pseudo-odoratus,narrow-ranged,DD,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5238,Loranthus tanakae,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5239,Loropetalum chinense,wide-ranged,LC,NT,LC,LC,LC,NT,LC,NT,NT,NT,Partial gap
sp5240,Loropetalum chinense var. rubrum,narrow-ranged,LC,EX,LC,EX,EX,LC,EX,NT,EX,EX,Gap
sp5241,Loropetalum lanceum,wide-ranged,EN,LC,NT,LC,VU,LC,NT,EN,EN,NT,Gap
sp5242,Loropetalum subcordatum,wide-ranged,EN,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5243,Loxostigma brevipetiolatum,narrow-ranged,NT,LC,LC,LC,LC,LC,LC,NT,VU,NT,Gap
sp5244,Loxostigma cavaleriei,wide-ranged,LC,LC,LC,VU,LC,NT,VU,VU,EN,EN,Gap
sp5245,Loxostigma fimbrisepalum,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,NT,VU,NT,Gap
sp5246,Loxostigma glabrifolium,wide-ranged,LC,LC,EN,CR,EN,LC,CR,EN,CR,NT,Gap
sp5247,Loxostigma griffithii,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5248,Loxostigma mekongense,wide-ranged,VU,LC,LC,LC,NT,EN,NT,VU,EN,EN,Partial gap
sp5249,Luculia pinceana,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp5250,Luvunga scandens,wide-ranged,LC,LC,NT,LC,VU,LC,NT,EN,EN,NT,Gap
sp5251,Lycianthes neesiana,wide-ranged,NT,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5252,Lycianthes yunnanensis,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,VU,NT,Gap
sp5253,Lycium barbarum,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp5254,Lycium barbarum var. auranticarpum,narrow-ranged,DD,EX,EX,EX,EX,EX,EX,EX,EX,EX,Gap
sp5255,Lycium chinense,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp5256,Lycium cylindricum,wide-ranged,CR,LC,LC,LC,NT,VU,VU,NT,VU,VU,Partial gap
sp5257,Lycium dasystemum,wide-ranged,LC,LC,LC,NT,NT,NT,NT,VU,VU,VU,Covered
sp5258,Lycium ruthenicum,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp5259,Lycium truncatum,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp5260,Lycium yunnanense,wide-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5261,Lyonia compta,wide-ranged,NT,LC,LC,LC,LC,LC,LC,VU,VU,VU,Gap
sp5262,Lyonia doyonensis,wide-ranged,LC,LC,LC,LC,LC,LC,LC,VU,VU,NT,Gap
sp5263,Lyonia macrocalyx,wide-ranged,DD,LC,LC,LC,LC,LC,LC,VU,VU,VU,Partial gap
sp5264,Lyonia ovalifolia,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp5265,Lyonia ovalifolia var. elliptica,wide-ranged,LC,VU,LC,NT,NT,VU,NT,NT,NT,VU,Covered
sp5266,Lyonia ovalifolia var. hebecarpa,wide-ranged,DD,LC,LC,LC,LC,LC,LC,VU,VU,VU,Gap
sp5267,Lyonia ovalifolia var. lanceolata,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp5268,Lyonia ovalifolia var. rubrovenia,wide-ranged,DD,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5269,Lyonia ovalifolia var. tomentosa,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5270,Lyonia villosa,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp5271,Lyonia villosa var. sphaerantha,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5272,Lysidice rhodostegia,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5273,Lysionotus aeschynanthoides,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5274,Lysionotus atropurpureus,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5275,Lysionotus chingii,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5276,Lysionotus denticulosus,narrow-ranged,LC,LC,CR,CR,LC,CR,CR,CR,CR,NT,Partial gap
sp5277,Lysionotus forrestii,wide-ranged,LC,NT,LC,LC,NT,NT,NT,VU,VU,VU,Gap
sp5278,Lysionotus gamosepalus,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5279,Lysionotus gracilis,wide-ranged,LC,NT,LC,LC,LC,NT,LC,NT,VU,EN,Gap
sp5280,Lysionotus heterophyllus,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5281,Lysionotus heterophyllus var. lasianthus,wide-ranged,LC,LC,EN,CR,EN,LC,CR,EN,CR,NT,Gap
sp5282,Lysionotus heterophyllus var. mollis,narrow-ranged,NT,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5283,Lysionotus involucratus,wide-ranged,NT,LC,LC,LC,LC,LC,LC,NT,NT,EN,Partial gap
sp5284,Lysionotus kwangsiensis,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5285,Lysionotus levipes,narrow-ranged,NT,EX,EX,EX,EX,EX,EX,EX,EX,EX,Partial gap
sp5286,Lysionotus longipedunculatus,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,NT,VU,NT,Partial gap
sp5287,Lysionotus metuoensis,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5288,Lysionotus microphyllus,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5289,Lysionotus oblongifolius,narrow-ranged,LC,LC,CR,EN,LC,CR,CR,CR,CR,NT,Gap
sp5290,Lysionotus pauciflorus,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5291,Lysionotus pauciflorus var. indutus,wide-ranged,DD,LC,NT,LC,CR,LC,CR,CR,CR,EN,Gap
sp5292,Lysionotus petelotii,wide-ranged,LC,EN,EX,EX,EX,EX,EX,EX,EX,EX,Gap
sp5293,Lysionotus pubescens,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5294,Lysionotus serratus,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5295,Lysionotus serratus var. pterocaulis,narrow-ranged,LC,LC,LC,LC,LC,LC,VU,EN,CR,NT,Gap
sp5296,Lysionotus sessilifolius,wide-ranged,NT,LC,NT,NT,VU,VU,VU,VU,EN,EN,Partial gap
sp5297,Lysionotus sulphureus,narrow-ranged,LC,EX,EX,EX,EX,EX,EX,EX,EX,EX,Partial gap
sp5298,Maackia amurensis,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp5299,Maackia australis,wide-ranged,EN,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5300,Maackia chekiangensis,wide-ranged,EN,EN,LC,EN,LC,EN,EN,NT,EN,EN,Gap
sp5301,Maackia hupehensis,wide-ranged,LC,NT,LC,LC,LC,VU,NT,NT,NT,VU,Partial gap
sp5302,Maackia tenuifolia,wide-ranged,LC,VU,NT,NT,NT,VU,VU,VU,EN,EN,Gap
sp5303,Macaranga andamanica,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5304,Macaranga denticulata,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp5305,Macaranga henryi,wide-ranged,LC,LC,LC,LC,NT,LC,NT,NT,VU,NT,Partial gap
sp5306,Macaranga indica,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5307,Macaranga kurzii,wide-ranged,LC,LC,LC,LC,NT,LC,NT,NT,VU,NT,Partial gap
sp5308,Macaranga lowii,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5309,Macaranga pustulata,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5310,Macaranga sampsonii,wide-ranged,LC,LC,LC,LC,NT,LC,LC,NT,NT,NT,Partial gap
sp5311,Macaranga sinensis,narrow-ranged,EN,LC,LC,LC,LC,LC,LC,NT,NT,EN,No protected
sp5312,Macaranga tanarius,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5313,Machilus austroguizhouensis,wide-ranged,EN,LC,NT,NT,NT,LC,NT,EN,EN,VU,Gap
sp5314,Machilus bonii,wide-ranged,NT,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5315,Machilus breviflora,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5316,Machilus calcicola,wide-ranged,LC,LC,LC,LC,VU,VU,VU,EN,EN,CR,Gap
sp5317,Machilus cavaleriei,wide-ranged,NT,LC,EN,CR,EN,LC,CR,CR,CR,EN,Gap
sp5318,Machilus chayuensis,wide-ranged,VU,LC,LC,LC,NT,LC,NT,NT,NT,NT,Gap
sp5319,Machilus chekiangensis,wide-ranged,NT,LC,LC,LC,LC,NT,LC,NT,NT,VU,Gap
sp5320,Machilus chienkweiensis,wide-ranged,LC,EN,VU,CR,EN,EN,CR,EN,CR,CR,Gap
sp5321,Machilus chinensis,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,VU,NT,Gap
sp5322,Machilus chuanchienensis,wide-ranged,NT,CR,EN,CR,EN,CR,CR,EN,CR,CR,Gap
sp5323,Machilus cicatricosa,narrow-ranged,NT,CR,EX,EX,CR,EX,EX,EX,EX,CR,Gap
sp5324,Machilus daozhenensis,narrow-ranged,NT,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5325,Machilus decursinervis,wide-ranged,LC,LC,CR,CR,CR,LC,CR,EX,CR,VU,Partial gap
sp5326,Machilus dumicola,wide-ranged,EN,LC,LC,LC,NT,VU,NT,EN,EN,EN,Gap
sp5327,Machilus duthiei,wide-ranged,NT,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5328,Machilus fasciculata,wide-ranged,NT,LC,EN,EN,EX,LC,EX,EX,EX,VU,Gap
sp5329,Machilus foonchewii,wide-ranged,NT,LC,LC,LC,LC,LC,LC,VU,NT,NT,Gap
sp5330,Machilus fukienensis,wide-ranged,NT,LC,LC,LC,EN,LC,VU,CR,EN,EN,Gap
sp5331,Machilus gamblei,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp5332,Machilus glaucifolia,wide-ranged,NT,LC,NT,LC,EN,LC,LC,CR,VU,NT,Gap
sp5333,Machilus gongshanensis,wide-ranged,VU,LC,LC,LC,LC,LC,LC,EN,CR,CR,Partial gap
sp5334,Machilus gracillima,narrow-ranged,CR,LC,LC,LC,LC,LC,LC,NT,NT,VU,Gap
sp5335,Machilus grandibracteata,narrow-ranged,LC,LC,LC,LC,LC,EN,NT,CR,EN,NT,Gap
sp5336,Machilus grijsii,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5337,Machilus ichangensis,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp5338,Machilus ichangensis var. leiophylla,wide-ranged,NT,NT,VU,VU,EN,EN,EN,EN,CR,CR,Partial gap
sp5339,Machilus kurzii,narrow-ranged,LC,EX,EX,EX,EX,EX,EX,EX,EX,EX,Partial gap
sp5340,Machilus kwangtungensis,wide-ranged,LC,NT,LC,LC,LC,NT,LC,NT,NT,VU,Gap
sp5341,Machilus lenticellata,narrow-ranged,EN,LC,EX,EX,LC,EX,EX,EX,EX,CR,Gap
sp5342,Machilus leptophylla,wide-ranged,LC,NT,LC,LC,LC,NT,NT,NT,NT,NT,Partial gap
sp5343,Machilus lichuanensis,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5344,Machilus litseifolia,wide-ranged,LC,NT,LC,NT,LC,NT,NT,NT,VU,NT,Partial gap
sp5345,Machilus lohuiensis,narrow-ranged,NT,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5346,Machilus longipes,narrow-ranged,CR,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5347,Machilus mangdangshanensis,narrow-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5348,Machilus melanophylla,narrow-ranged,VU,LC,LC,EN,LC,LC,EN,NT,EN,NT,Gap
sp5349,Machilus miaoshanensis,narrow-ranged,NT,EX,EX,EX,EX,EX,EX,EX,EX,EX,Gap
sp5350,Machilus microcarpa,wide-ranged,LC,LC,LC,NT,NT,NT,VU,VU,EN,EN,Partial gap
sp5351,Machilus minkweiensis,wide-ranged,VU,LC,LC,LC,NT,LC,LC,CR,CR,NT,Gap
sp5352,Machilus minutiloba,wide-ranged,CR,CR,CR,CR,CR,CR,CR,CR,CR,CR,Gap
sp5353,Machilus monticola,wide-ranged,LC,LC,EN,NT,EN,LC,VU,CR,EN,NT,Gap
sp5354,Machilus multinervia,wide-ranged,VU,LC,LC,LC,NT,LC,LC,EN,VU,NT,Gap
sp5355,Machilus nakao,wide-ranged,NT,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5356,Machilus nanchuanensis,narrow-ranged,VU,LC,LC,LC,LC,LC,LC,VU,NT,NT,Partial gap
sp5357,Machilus nanmu,wide-ranged,EN,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5358,Machilus obscurinervis,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5359,Machilus oculodracontis,wide-ranged,EN,LC,LC,LC,LC,LC,LC,NT,EN,CR,Gap
sp5360,Machilus oreophila,wide-ranged,LC,NT,LC,LC,LC,NT,LC,NT,NT,NT,Covered
sp5361,Machilus ovatiloba,wide-ranged,NT,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5362,Machilus parabreviflora,wide-ranged,NT,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5363,Machilus pauhoi,wide-ranged,LC,NT,LC,LC,LC,NT,LC,NT,NT,VU,Partial gap
sp5364,Machilus phoenicis,wide-ranged,LC,NT,LC,LC,LC,VU,LC,NT,NT,VU,Covered
sp5365,Machilus platycarpa,wide-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5366,Machilus pomifera,wide-ranged,NT,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5367,Machilus pyramidalis,narrow-ranged,VU,LC,EX,EX,LC,EX,EX,EX,EX,EN,Gap
sp5368,Machilus rehderi,wide-ranged,LC,LC,VU,EN,EN,NT,EN,EN,CR,VU,Gap
sp5369,Machilus robusta,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5370,Machilus rufipes,wide-ranged,NT,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5371,Machilus salicina,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp5372,Machilus salicoides,narrow-ranged,EX,CR,EX,EX,CR,EX,EX,EX,EX,EX,Gap
sp5373,Machilus shiwandashanica,wide-ranged,NT,LC,NT,LC,VU,LC,LC,CR,EN,NT,Gap
sp5374,Machilus shweliensis,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5375,Machilus sichourensis,wide-ranged,NT,LC,VU,VU,CR,LC,CR,CR,EX,VU,Gap
sp5376,Machilus sichuanensis,narrow-ranged,EN,LC,VU,LC,LC,CR,EN,CR,CR,VU,Partial gap
sp5377,Machilus submultinervia,narrow-ranged,VU,LC,NT,EN,LC,EX,EX,EX,EX,VU,Gap
sp5378,Machilus tenuipilis,wide-ranged,NT,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5379,Machilus thunbergii,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5380,Machilus velutina,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5381,Machilus velutinoides,narrow-ranged,NT,LC,LC,LC,LC,LC,LC,NT,VU,NT,Partial gap
sp5382,Machilus verruculosa,narrow-ranged,EN,LC,LC,LC,LC,LC,LC,EN,CR,NT,Gap
sp5383,Machilus viridis,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5384,Machilus wangchiana,wide-ranged,LC,LC,LC,LC,VU,EN,LC,EN,EN,CR,Gap
sp5385,Machilus yunnanensis,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5386,Machilus zuihoensis,wide-ranged,LC,LC,LC,LC,LC,NT,LC,NT,NT,NT,No protected
sp5387,Machilus zuihoensis var. mushaensis,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,No protected
sp5388,Maclura amboinensis,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,VU,Gap
sp5389,Maclura cochinchinensis,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5390,Maclura fruticosa,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5391,Maclura pubescens,wide-ranged,LC,NT,NT,NT,NT,VU,NT,VU,EN,EN,Partial gap
sp5392,Maclura tricuspidata,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5393,Maclurodendron oligophlebium,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5394,Macropanax chienii,narrow-ranged,VU,LC,LC,NT,LC,LC,EN,NT,EN,NT,Gap
sp5395,Macropanax decandrus,wide-ranged,LC,EN,EX,CR,EX,EN,EX,EX,EX,EN,Gap
sp5396,Macropanax dispermus,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5397,Macropanax paucinervis,narrow-ranged,EN,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5398,Macropanax rosthornii,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp5399,Macropanax undulatus,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5400,Macrosolen bibracteolatus,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5401,Macrosolen geminatus,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,VU,NT,Gap
sp5402,Macrosolen robinsonii,narrow-ranged,LC,EN,LC,LC,EN,LC,LC,NT,NT,CR,Partial gap
sp5403,Macrosolen tricolor,wide-ranged,LC,LC,NT,LC,NT,LC,LC,VU,NT,NT,Gap
sp5404,Maddenia fujianensis,narrow-ranged,CR,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5405,Maddenia himalaica,wide-ranged,LC,LC,LC,LC,NT,LC,LC,NT,NT,NT,Partial gap
sp5406,Maddenia hypoleuca,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5407,Maddenia hypoxantha,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5408,Maddenia incisoserrata,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5409,Maddenia wilsonii,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5410,Madhuca hainanensis,wide-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5411,Madhuca pasquieri,wide-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5412,Maesa acuminatissima,narrow-ranged,LC,LC,EX,EX,LC,EX,EX,EX,EX,EN,Partial gap
sp5413,Maesa ambigua,narrow-ranged,NT,LC,EX,EX,LC,EX,EX,EX,EX,VU,Gap
sp5414,Maesa argentea,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5415,Maesa brevipaniculata,narrow-ranged,LC,LC,CR,CR,NT,CR,EX,EX,EX,EN,Gap
sp5416,Maesa cavinervis,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5417,Maesa chisia,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5418,Maesa confusa,narrow-ranged,LC,LC,EN,VU,LC,EN,VU,EN,EN,NT,Gap
sp5419,Maesa consanguinea,wide-ranged,NT,LC,EN,VU,EN,LC,VU,EN,EN,NT,Gap
sp5420,Maesa hupehensis,wide-ranged,LC,EN,LC,NT,NT,EN,VU,VU,VU,EN,Partial gap
sp5421,Maesa indica,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5422,Maesa insignis,wide-ranged,LC,LC,NT,NT,NT,LC,NT,EN,EN,NT,Gap
sp5423,Maesa japonica,wide-ranged,LC,LC,NT,NT,NT,LC,NT,NT,NT,NT,Partial gap
sp5424,Maesa macilenta,narrow-ranged,NT,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5425,Maesa macilentoides,wide-ranged,NT,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5426,Maesa manipurensis,wide-ranged,LC,LC,LC,LC,LC,LC,LC,VU,NT,VU,Gap
sp5427,Maesa marioniae,wide-ranged,LC,LC,LC,LC,LC,LC,LC,VU,VU,NT,Partial gap
sp5428,Maesa membranacea,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5429,Maesa montana,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp5430,Maesa parvifolia,wide-ranged,LC,LC,NT,LC,NT,LC,NT,NT,NT,NT,Gap
sp5431,Maesa perlarius,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp5432,Maesa permollis,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5433,Maesa ramentacea,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5434,Maesa reticulata,narrow-ranged,NT,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5435,Maesa rugosa,wide-ranged,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,Partial gap
sp5436,Maesa salicifolia,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,VU,VU,VU,Gap
sp5437,Maesa striatocarpa,wide-ranged,LC,LC,VU,NT,EX,LC,EX,EX,EX,EN,Gap
sp5438,Mahonia bodinieri,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,VU,VU,Gap
sp5439,Mahonia bracteolata,wide-ranged,VU,LC,LC,LC,LC,LC,LC,EN,CR,CR,Gap
sp5440,Mahonia breviracema,wide-ranged,CR,CR,EN,CR,EN,CR,CR,EN,CR,CR,Gap
sp5441,Mahonia conferta,wide-ranged,VU,LC,LC,LC,LC,LC,NT,CR,CR,NT,Gap
sp5442,Mahonia decipiens,narrow-ranged,VU,EX,EN,EX,EX,CR,EX,CR,EX,EX,Gap
sp5443,Mahonia duclouxiana,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5444,Mahonia eurybracteata,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5445,Mahonia eurybracteata ssp. ganpinensis,wide-ranged,DD,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5446,Mahonia fordii,wide-ranged,NT,NT,LC,NT,NT,EN,NT,NT,VU,EN,Gap
sp5447,Mahonia gracilipes,wide-ranged,LC,LC,LC,LC,LC,LC,NT,EN,EN,NT,Gap
sp5448,Mahonia hancockiana,narrow-ranged,VU,EN,EN,CR,EN,EN,CR,CR,CR,EN,Gap
sp5449,Mahonia japonica,wide-ranged,LC,VU,LC,NT,LC,VU,NT,NT,NT,VU,Gap
sp5450,Mahonia monyulensis,wide-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5451,Mahonia napaulensis,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5452,Mahonia nitens,wide-ranged,LC,LC,LC,LC,LC,LC,LC,EN,EN,VU,Gap
sp5453,Mahonia oiwakensis,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,VU,Gap
sp5454,Mahonia paucijuga,narrow-ranged,LC,LC,LC,LC,EN,LC,LC,NT,NT,EX,Partial gap
sp5455,Mahonia polyodonta,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5456,Mahonia retinervis,narrow-ranged,VU,LC,LC,EN,LC,EX,EX,EX,EX,EN,Gap
sp5457,Mahonia setosa,narrow-ranged,DD,LC,LC,LC,LC,LC,LC,NT,NT,EN,Gap
sp5458,Mahonia shenii,wide-ranged,DD,NT,LC,LC,LC,VU,LC,NT,VU,EN,Partial gap
sp5459,Mahonia sheridaniana,wide-ranged,LC,LC,LC,LC,LC,NT,LC,VU,EN,EN,Gap
sp5460,Malaisia scandens,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5461,Malania oleifera,wide-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5462,Mallotus anomalus,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp5463,Mallotus apelta,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5464,Mallotus apelta var. kwangsiensis,wide-ranged,LC,LC,LC,NT,LC,LC,VU,VU,CR,EN,Gap
sp5465,Mallotus barbatus,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp5466,Mallotus barbatus var. croizatianus,wide-ranged,LC,LC,LC,LC,VU,LC,VU,CR,CR,VU,Gap
sp5467,Mallotus conspurcatus,wide-ranged,CR,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
