code,Species,Type,Qin,full_rcp26,full_rcp60,full_rcp85,buffer_rcp26,buffer_rcp60,buffer_rcp85,stable_rcp26,stable_rcp60,stable_rcp85,Category
sp99,Acer fulvescens,wide-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp100,Acer gracilifolium,narrow-ranged,EN,LC,LC,LC,LC,LC,LC,NT,NT,VU,Partial gap
sp101,Acer griseum,wide-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp102,Acer henryi,wide-ranged,LC,NT,NT,NT,NT,NT,NT,NT,VU,VU,Covered
sp103,Acer hilaense,narrow-ranged,CR,VU,EN,EN,VU,EN,EN,CR,CR,EN,Partial gap
sp104,Acer komarovii,wide-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp105,Acer kungshanense,wide-ranged,EN,LC,LC,LC,LC,LC,LC,EN,CR,EN,Partial gap
sp106,Acer kwangnanense,wide-ranged,VU,LC,CR,CR,CR,NT,EX,EX,EX,EN,Gap
sp107,Acer kweilinense,wide-ranged,LC,EN,CR,EX,EX,EN,EX,EX,EX,CR,Partial gap
sp108,Acer laevigatum,wide-ranged,VU,NT,LC,LC,LC,NT,NT,NT,VU,VU,Partial gap
sp109,Acer laevigatum var. salweenense,wide-ranged,LC,LC,LC,LC,LC,LC,LC,EN,CR,EN,Gap
sp110,Acer laurinum,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp111,Acer laxiflorum,wide-ranged,NT,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp112,Acer leipoense,wide-ranged,EN,LC,LC,LC,LC,LC,LC,NT,NT,VU,Partial gap
sp113,Acer linganense,wide-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp114,Acer longipes,wide-ranged,LC,EN,NT,EN,NT,EN,EN,VU,EN,EN,Partial gap
sp115,Acer lucidum,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp116,Acer lungshengense,wide-ranged,LC,NT,LC,NT,NT,NT,VU,EN,EN,EN,Gap
sp117,Acer mandshuricum,wide-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp118,Acer maximowiczii,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp119,Acer metcalfii,wide-ranged,LC,LC,LC,LC,NT,NT,NT,NT,VU,VU,Gap
sp120,Acer miaoshanicum,wide-ranged,LC,EX,EX,EX,EX,EX,EX,EX,EX,EX,Gap
sp121,Acer miaotaiense,wide-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp122,Acer morrisonense,wide-ranged,VU,LC,LC,LC,LC,NT,LC,NT,NT,NT,No protected
sp123,Acer nikoense,wide-ranged,NT,LC,LC,LC,LC,LC,LC,NT,NT,VU,Gap
sp124,Acer oblongum,wide-ranged,VU,NT,NT,NT,NT,NT,NT,NT,VU,VU,Covered
sp125,Acer oblongum var. omeiense,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,EN,Gap
sp126,Acer oligocarpum,wide-ranged,EN,LC,LC,LC,LC,NT,LC,NT,NT,NT,Partial gap
sp127,Acer oliverianum,wide-ranged,LC,NT,LC,LC,LC,NT,NT,NT,NT,VU,Covered
sp128,Acer palmatum,wide-ranged,VU,NT,LC,NT,LC,NT,NT,NT,VU,VU,Covered
sp129,Acer pauciflorum,wide-ranged,VU,LC,LC,NT,LC,LC,VU,NT,VU,NT,Gap
sp130,Acer paxii,wide-ranged,NT,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp131,Acer pectinatum,wide-ranged,EN,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp132,Acer pectinatum ssp. taronense,wide-ranged,LC,LC,LC,LC,LC,LC,LC,VU,VU,VU,Partial gap
sp133,Acer pentaphyllum,wide-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp134,Acer pictum ssp. macropterum,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp135,Acer pictum ssp. mono,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp136,Acer pictum ssp. pubigerum,narrow-ranged,LC,VU,LC,EN,VU,NT,EN,NT,EN,EN,Gap
sp137,Acer pictum ssp. tricuspis,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp138,Acer pilosum,narrow-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp139,Acer pilosum var. stenolobum,wide-ranged,LC,LC,LC,LC,VU,LC,LC,EN,EN,NT,Gap
sp140,Acer pinnatinervium,wide-ranged,LC,EN,NT,NT,VU,CR,VU,CR,CR,CR,Partial gap
sp141,Acer poliophyllum,narrow-ranged,VU,EX,EX,EX,EX,EX,EX,EX,EX,EX,Gap
sp142,Acer pseudosieboldianum,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp143,Acer pubinerve,wide-ranged,LC,NT,LC,NT,LC,NT,NT,NT,NT,VU,Partial gap
sp144,Acer pubipetiolatum,wide-ranged,VU,LC,LC,LC,LC,NT,LC,NT,NT,NT,Partial gap
sp145,Acer pubipetiolatum var. pingpienense,wide-ranged,LC,NT,NT,VU,NT,VU,EN,EN,EN,EN,Gap
sp146,Acer shenkanense,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,VU,Partial gap
sp147,Acer sikkimense,wide-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp148,Acer sinense,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp149,Acer sino-oblongum,wide-ranged,EN,LC,LC,LC,LC,LC,LC,VU,VU,NT,Gap
sp150,Acer sinopurpurascens,wide-ranged,LC,VU,VU,EN,VU,VU,EN,EN,EN,EN,Gap
sp151,Acer stachyophyllum,wide-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp152,Acer stachyophyllum ssp. betulifolium,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp153,Acer sterculiaceum,wide-ranged,VU,LC,LC,LC,LC,LC,LC,VU,VU,EN,Gap
sp154,Acer sterculiaceum ssp. franchetii,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp155,Acer sutchuenense,wide-ranged,EN,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp156,Acer sycopseoides,wide-ranged,LC,EN,CR,EX,CR,EN,EX,EX,EX,CR,Gap
sp157,Acer tataricum ssp. ginnala,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp158,Acer tataricum ssp. semenovii,wide-ranged,LC,VU,NT,NT,EN,EN,EN,CR,EN,EN,Gap
sp159,Acer tataricum ssp. theiferum,wide-ranged,LC,LC,LC,LC,LC,LC,NT,NT,VU,VU,Partial gap
