code,name,Type,Qin
sp188,Actinidia chrysantha,wide-ranged,VU
sp189,Actinidia eriantha,wide-ranged,LC
sp191,Actinidia fasciculoides,wide-ranged,VU
sp192,Actinidia fasciculoides var. cuneata,wide-ranged,EN
sp194,Actinidia fortunatii,wide-ranged,NT
sp195,Actinidia fulvicoma,wide-ranged,VU
sp196,Actinidia fulvicoma var. cinerascens,wide-ranged,VU
sp197,Actinidia fulvicoma var. hirsuta,wide-ranged,VU
sp198,Actinidia fulvicoma var. pachyphylla,wide-ranged,VU
sp200,Actinidia hemsleyana,wide-ranged,VU
sp201,Actinidia henryi,wide-ranged,VU
sp202,Actinidia kolomikta,wide-ranged,LC
sp204,Actinidia lanceolata,wide-ranged,VU
sp205,Actinidia latifolia var. mollis,wide-ranged,VU
sp206,Actinidia liangguangensis,wide-ranged,NT
sp207,Actinidia melanandra var. glabrescens,wide-ranged,CR
sp208,Actinidia obovata,wide-ranged,EN
sp209,Actinidia pilosula,wide-ranged,VU
sp210,Actinidia polygama,wide-ranged,LC
sp211,Actinidia rubricaulis,wide-ranged,VU
sp212,Actinidia rubricaulis var. coriacea,wide-ranged,LC
sp213,Actinidia rudis,wide-ranged,VU
sp214,Actinidia rudis var. glabricaulis,wide-ranged,VU
sp216,Actinidia rufotricha var. glomerata,wide-ranged,EN
sp217,Actinidia sabiifolia,wide-ranged,VU
sp218,Actinidia sorbifolia,wide-ranged,VU
sp220,Actinidia styracifolia,wide-ranged,VU
sp222,Actinidia tetramera,wide-ranged,NT
sp223,Actinidia trichogyna,wide-ranged,VU
sp225,Actinidia umbelloides,wide-ranged,VU
sp226,Actinidia valvata,wide-ranged,NT
sp227,Actinidia venosa,wide-ranged,LC
sp228,Actinidia vitifolia,wide-ranged,VU
sp229,Actinidia zhejiangensis,wide-ranged,CR
sp230,Actinodaphne acuminata,wide-ranged,LC
sp231,Actinodaphne cupularis,wide-ranged,LC
sp232,Actinodaphne forrestii,wide-ranged,LC
sp233,Actinodaphne glaucina,wide-ranged,VU
sp234,Actinodaphne henryi,wide-ranged,VU
sp235,Actinodaphne koshepangii,wide-ranged,LC
sp236,Actinodaphne kweichowensis,wide-ranged,NT
sp237,Actinodaphne lecomtei,wide-ranged,LC
sp239,Actinodaphne obovata,wide-ranged,NT
sp241,Actinodaphne omeiensis,wide-ranged,LC
sp243,Actinodaphne pilosa,wide-ranged,LC
sp244,Actinodaphne trichocarpa,wide-ranged,LC
sp245,Adenanthera microsperma,wide-ranged,LC
sp246,Adenia cardiophylla,wide-ranged,LC
sp248,Adhatoda vasica,wide-ranged,LC
sp249,Adina pilulifera,wide-ranged,LC
sp250,Adina rubella,wide-ranged,LC
sp251,Adinandra bockiana,wide-ranged,EN
sp252,Adinandra bockiana var. acutifolia,wide-ranged,LC
sp254,Adinandra formosana,wide-ranged,VU
sp255,Adinandra glischroloma,wide-ranged,DD
sp256,Adinandra glischroloma var. jubata,wide-ranged,LC
sp257,Adinandra glischroloma var. macrosepala,wide-ranged,LC
sp259,Adinandra hainanensis,wide-ranged,LC
sp260,Adinandra hirta,wide-ranged,LC
sp262,Adinandra lancipetala,wide-ranged,EN
sp264,Adinandra megaphylla,wide-ranged,LC
sp265,Adinandra millettii,wide-ranged,LC
sp266,Adinandra nigroglandulosa,wide-ranged,DD
sp267,Adinandra nitida,wide-ranged,LC
sp269,Aegle marmelos,wide-ranged,VU
sp270,Aeschynanthus acuminatissimus,wide-ranged,LC
sp271,Aeschynanthus acuminatus,wide-ranged,LC
sp273,Aeschynanthus angustissimus,wide-ranged,LC
